"","bamfile","mean_depth","proportion_of_reference_covered","pop"
"1","AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3",1.31451388682744,0.621252457973577,"AGA"
"2","AGAB_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2",1.10841357952708,0.570866424415617,"AGA"
"3","AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2",1.6436595020609,0.676872835181046,"AGA"
"4","AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1",1.43141794363396,0.643229542238622,"AGA"
"5","AGAB_07_01_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1",1.73384687545769,0.691820676478208,"AGA"
"6","AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1",2.15693422444241,0.739647134696256,"AGA"
"7","AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1",2.18068964183956,0.746640131339191,"AGA"
"8","AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3",1.86853454095565,0.710414667082499,"AGA"
"9","AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1",1.05604912034994,0.554714015721169,"AGA"
"10","AGAB_14_EKDL200012859-1a-AK12637-AK16268_HNLVYDSXY_L1",1.23469050686429,0.605478724432226,"AGA"
"11","AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1",1.38723089636997,0.631502413350635,"AGA"
"12","AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1",0.831716190217387,0.491817177709101,"AGA"
"13","AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2",1.90339419283031,0.710660579669264,"AGA"
"14","AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4",1.67437615191151,0.683946432173789,"AGA"
"15","AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1",0.958015355750418,0.537638177649224,"AGA"
"16","BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4",1.51487007345605,0.666414778676708,"BAR"
"17","BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2",1.44906251640196,0.65268381375002,"BAR"
"18","BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1",0.945955613047972,0.530099246229925,"BAR"
"19","BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3",1.00309950363555,0.533086823517023,"BAR"
"20","BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4",1.73272149128145,0.697645886968205,"BAR"
"21","BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1",1.38860556230921,0.63767480401168,"BAR"
"22","BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4",1.90068489483276,0.721435532215009,"BAR"
"23","BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3",1.10337810352696,0.547502965420086,"BAR"
"24","BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2",0.811930583325402,0.479488987046197,"BAR"
"25","BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2",1.8704904416903,0.708400558027451,"BAR"
"26","BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1",1.20918528769945,0.603613672590653,"BAR"
"27","BARR_13_EKDL200012859-1a-AK7415-AK16289_HNLVYDSXY_L1",1.31315112080563,0.628319264170375,"BAR"
"28","BARR_14_EKDL200012859-1a-AK11667-AK16287_HNLVYDSXY_L1",0.940931386670525,0.524148690955677,"BAR"
"29","BARR_15_EKDL200012859-1a-AK11171-AK16279_HNLVYDSXY_L1",0.701999526033451,0.443202681826216,"BAR"
"30","BOVA_01_EKDL200012859-1a-AK11177-AK16280_HNLVYDSXY_L1",1.26103194373277,0.606741899883066,"BOV"
"31","BOVA_04_EKDL210004790-1a-AK11608-AK2002_HHJYYDSX2_L3",1.44953978570749,0.653318374997982,"BOV"
"32","BOVA_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2",1.09370374589674,0.570029499313147,"BOV"
"33","BOVA_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2",1.4819553687052,0.652658867160353,"BOV"
"34","BOVA_07_EKDL210005548-1a-AK7685-AK16294_HHJKNDSX2_L4",1.52410136632185,0.663771493695143,"BOV"
"35","BOVA_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2",1.45849226902596,0.646776952883247,"BOV"
"36","BOVA_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1",2.20285918870666,0.743573535152448,"BOV"
"37","BOVA_13_EKDL200012859-1a-AK11246-AK16274_HNLVYDSXY_L1",1.15033766250997,0.582621131370402,"BOV"
"38","BOVA_14_EKDL210004788-1a-AK11387-AK16228_HHJYYDSX2_L1",1.35369929553068,0.627721466685734,"BOV"
"39","BOVA_16_EKDL210005548-1a-AK11692-AK16230_HHJKNDSX2_L4",1.13641690957868,0.586729809982097,"BOV"
"40","BUNN_06_EKDL210007863-1a-AK19056-AK23721_HLNT5DSX2_L2",0.768855926008131,0.472991716176419,"BUN"
"41","BUNN_07_EKDL210007863-1a-AK23722-AK23723_HLNT5DSX2_L2",1.07937166325588,0.573075251124351,"BUN"
"42","BUNN_08_EKDL210007863-1a-AK19172-AK23724_HLNT5DSX2_L2",0.588393232172322,0.400681931798688,"BUN"
